attribute,mode,Q,R,rmse,norm_rmse
Water Temperature,velocity,2.0,0.02,1.2316405602403764,0.38255896321496996
Water Temperature,velocity,2.0,0.05,1.2312212637674977,0.38242872584773613
Water Temperature,velocity,2.0,0.1,1.2306697977733185,0.38225743540327367
Water Temperature,velocity,2.0,0.2,1.2300001603556976,0.38204943982040246
Water Temperature,acceleration,0.01,0.01,2.990347149981712,0.9288295159154025
Water Temperature,acceleration,0.01,0.02,2.894491970788801,0.8990560096225696
Water Temperature,acceleration,0.01,0.05,2.7147400689742316,0.843223404385308
Water Temperature,acceleration,0.01,0.1,2.5412871031687483,0.7893473070017037
Water Temperature,acceleration,0.01,0.2,2.3486140040173478,0.7295012582191033
Water Temperature,acceleration,0.05,0.01,3.1037922802826348,0.9640666239083693
Water Temperature,acceleration,0.05,0.02,3.0704180329416,0.9537002736329494
Water Temperature,acceleration,0.05,0.05,2.990849213631191,0.9289854615341269
Water Temperature,acceleration,0.05,0.1,2.8957480339874113,0.8994461544834201
Water Temperature,acceleration,0.05,0.2,2.767345037403664,0.8595629947105828
Water Temperature,acceleration,0.1,0.01,3.122347958352085,0.9698301893455242
Water Temperature,acceleration,0.1,0.02,3.103832136826234,0.9640790037198897
Water Temperature,acceleration,0.1,0.05,3.0555418329277915,0.949079588152479
Water Temperature,acceleration,0.1,0.1,2.991544197537273,0.9292013299710269
Water Temperature,acceleration,0.1,0.2,2.897572741432232,0.9000129255128875
Water Temperature,acceleration,0.2,0.01,3.132101441134215,0.972859711416589
Water Temperature,acceleration,0.2,0.02,3.1223275425714654,0.9698238480150102
Water Temperature,acceleration,0.2,0.05,3.0952432683133306,0.9614112216253761
Water Temperature,acceleration,0.2,0.1,3.0560769533778878,0.9492458015195867
Water Temperature,acceleration,0.2,0.2,2.993038628429387,0.9296655140448057
Water Temperature,acceleration,0.5,0.01,3.1379984834899393,0.9746913873799077
Water Temperature,acceleration,0.5,0.02,3.1339771273083357,0.9734423169114488
Water Temperature,acceleration,0.5,0.05,3.122345876371426,0.9698295426630521
Water Temperature,acceleration,0.5,0.1,3.104264013704454,0.9642131486775194
Water Temperature,acceleration,0.5,0.2,3.072142704195302,0.9542359724951028
Water Temperature,acceleration,1.0,0.01,3.139888591426166,0.9752784724076256
Water Temperature,acceleration,1.0,0.02,3.1378685815990006,0.9746510386496682
Water Temperature,acceleration,1.0,0.05,3.1319399789428304,0.9728095597647771
Water Temperature,acceleration,1.0,0.1,3.122468856293725,0.9698677413657335
